"ID","RegioS","Code_1","Naam_2","SorteringNaam_3","Code_4","Naam_5","Code_6","Naam_7","Code_8","Naam_9","Code_10","Naam_11","Code_12","Naam_13","Code_14","Naam_15","Code_16","Naam_17","Code_18","Naam_19","Code_20","Naam_21","Code_22","Naam_23","Code_24","Naam_25","Code_26","Naam_27","Code_28","Naam_29","Code_30","Naam_31","Code_32","Naam_33","Code_34","Naam_35","Code_36","Naam_37","Code_38","Naam_39","Code_40","Naam_41","Code_42","Naam_43","Code_44","Omschrijving_45","Code_46","Omschrijving_47","Inwonertal_48","Omgevingsadressendichtheid_49"
0,"GM1680    ","GM1680    ","Aa en Hunze                                       ","Aa en Hunze                                       ","AM01      ","Groningen                                         ","AR05      ","Noord-Nederland                                   ","CR07      ","Noord-Drenthe                                     ","CS070     ","Noord-Drenthe                                     ","CP0700    ","Noord-Drenthe                                     ","GG0706    ","GGD Drenthe                                       ","JZ04      ","Drenthe                                           ","KK42      ","Noord                                             ","LB2205    ","Drentse Veenkoloniën en Hondsrug                  ","LG02      ","Veenkoloniën en Oldambt                           ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL13      ","Drenthe                                           ","NL131     ","Noord-Drenthe                                     ","PV22      ","Drenthe                                           ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR12      ","Groningse, Friese en Drentse Zandgronden          ","VR03      ","Drenthe                                           ","ZK06      ","Drenthe                                           ","4         ","20 000 tot 50 000 inwoners                        ","5         ","Niet stedelijk           ",25286,279
1,"GM0738    ","GM0738    ","Aalburg                                           ","Aalburg                                           ","AM25      ","West-Brabant                                      ","AR11      ","Zeeland-West-Brabant                              ","CR34      ","Midden-Noord-Brabant                              ","CS340     ","Midden-Noord-Brabant                              ","CP3400    ","Midden-Noord-Brabant                              ","GG5206    ","GGD West-Brabant                                  ","JZ34      ","West Brabant Oost                                 ","KK44      ","Zuid                                              ","LB3004    ","Oostelijke Langstraat                             ","LG10      ","Rivierengebied                                    ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL412     ","Midden-Noord-Brabant                              ","PV30      ","Noord-Brabant                                     ","RE08      ","Zeeland - West-Brabant                            ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR20      ","Midden- en West-Brabant                           ","ZK25      ","West-Brabant                                      ","3         ","10 000 tot 20 000 inwoners                        ","5         ","Niet stedelijk           ",13067,376
2,"GM0358    ","GM0358    ","Aalsmeer                                          ","Aalsmeer                                          ","AM18      ","Groot Amsterdam                                   ","AR01      ","Amsterdam                                         ","CR23      ","Groot-Amsterdam                                   ","CS232     ","Overig Groot-Amsterdam                            ","CP2323    ","Haarlemmermeer en omgeving                        ","GG3406    ","GGD Amsterdam                                     ","JZ13      ","Amsterdam-Amstelland                              ","KK41      ","Noordwest                                         ","LB2703    ","Amstelland en Aalsmeer                            ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL326     ","Groot-Amsterdam                                   ","PV27      ","Noord-Holland                                     ","RE05      ","Amsterdam                                         ","RT11      ","Gerechtshof Amsterdam                             ","TR06      ","Hollands-Utrechtse meren                          ","VR13      ","Amsterdam-Amstelland                              ","ZK01      ","Amstelland en De Meerlanden                       ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",31373,904
3,"GM0197    ","GM0197    ","Aalten                                            ","Aalten                                            ","AM09      ","Achterhoek                                        ","AR03      ","Gelderland                                        ","CR14      ","Achterhoek                                        ","CS140     ","Achterhoek                                        ","CP1400    ","Achterhoek                                        ","GG1413    ","GGD Noord- en Oost-Gelderland                     ","JZ25      ","Achterhoek                                        ","KK43      ","Oost                                              ","LB2508    ","Achterhoek                                        ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL225     ","Achterhoek                                        ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR10      ","Achterhoek                                        ","VR06      ","Noord- en Oost-Gelderland                         ","ZK04      ","Arnhem                                            ","4         ","20 000 tot 50 000 inwoners                        ","4         ","Weinig stedelijk         ",27047,782
4,"GM0059    ","GM0059    ","Achtkarspelen                                     ","Achtkarspelen                                     ","AM02      ","Friesland                                         ","AR05      ","Noord-Nederland                                   ","CR04      ","Noord-Friesland                                   ","CS040     ","Noord-Friesland                                   ","CP0400    ","Noord-Friesland                                   ","GG7206    ","GGD Fryslân                                       ","JZ02      ","Friesland (Fryslân)                               ","KK42      ","Noord                                             ","LB2103    ","De Wouden                                         ","LG03      ","Noordelijk Weidegebied                            ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL12      ","Friesland (NL)                                    ","NL121     ","Noord-Friesland                                   ","PV21      ","Friesland                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR17      ","Overig Nederland                                  ","VR02      ","Fryslân                                           ","ZK08      ","Friesland                                         ","4         ","20 000 tot 50 000 inwoners                        ","5         ","Niet stedelijk           ",27893,426
5,"GM0482    ","GM0482    ","Alblasserdam                                      ","Alblasserdam                                      ","AM23      ","Drechtsteden                                      ","AR08      ","Rotterdam                                         ","CR30      ","Zuidoost-Zuid-Holland                             ","CS300     ","Zuidoost-Zuid-Holland                             ","CP3002    ","Overig Zuidoost-Zuid-Holland                      ","GG4816    ","Dienst Gezondheid & Jeugd ZHZ                     ","JZ31      ","Zuid-Holland Zuid                                 ","KK45      ","Zuidwest                                          ","LB2807    ","Alblasserwaard en Vijfherenlanden                 ","LG09      ","Hollands/Utrechts Weidegebied                     ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL33      ","Zuid-Holland                                      ","NL33A     ","Zuidoost-Zuid-Holland                             ","PV28      ","Zuid-Holland                                      ","RE07      ","Rotterdam                                         ","RT13      ","Gerechtshof Den Haag                              ","TR17      ","Overig Nederland                                  ","VR18      ","Zuid-Holland-Zuid                                 ","ZK24      ","Waardenland                                       ","4         ","20 000 tot 50 000 inwoners                        ","2         ","Sterk stedelijk          ",20008,1506
6,"GM0613    ","GM0613    ","Albrandswaard                                     ","Albrandswaard                                     ","AM22      ","Rijnmond                                          ","AR08      ","Rotterdam                                         ","CR29      ","Groot-Rijnmond                                    ","CS291     ","Rijnmond                                          ","CP2910    ","Rijnmond                                          ","GG4607    ","GGD Rotterdam-Rijnmond                            ","JZ29      ","Rijnmond                                          ","KK45      ","Zuidwest                                          ","LB2802    ","Rotterdam en omgeving                             ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL33      ","Zuid-Holland                                      ","NL339     ","Groot-Rijnmond                                    ","PV28      ","Zuid-Holland                                      ","RE07      ","Rotterdam                                         ","RT13      ","Gerechtshof Den Haag                              ","TR04      ","Deltagebied                                       ","VR17      ","Rotterdam-Rijnmond                                ","ZK29      ","Zuid-Hollandse Eilanden                           ","4         ","20 000 tot 50 000 inwoners                        ","3         ","Matig stedelijk          ",25105,1018
7,"GM0361    ","GM0361    ","Alkmaar                                           ","Alkmaar                                           ","AM15      ","Noord-Holland Noord                               ","AR02      ","Noord-Holland                                     ","CR19      ","Alkmaar en omgeving                               ","CS190     ","Alkmaar en omgeving                               ","CP1900    ","Alkmaar en omgeving                               ","GG2707    ","GGD Hollands-Noorden                              ","JZ06      ","Alkmaar (Noord-Kennemerland)                      ","KK41      ","Noordwest                                         ","LB2706    ","Waterland en N.-Hollandse Droogmakerijen          ","LG08      ","Waterland en Droogmakerijen                       ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","          ","                                                  ","PV27      ","Noord-Holland                                     ","RE04      ","Noord-Holland                                     ","RT11      ","Gerechtshof Amsterdam                             ","TR17      ","Overig Nederland                                  ","VR10      ","Noord-Holland-Noord                               ","ZK18      ","Noord-Holland Noord                               ","6         ","100 000 tot 150 000 inwoners                      ","2         ","Sterk stedelijk          ",108373,2224
8,"GM0141    ","GM0141    ","Almelo                                            ","Almelo                                            ","AM05      ","Twente                                            ","AR06      ","Overijssel                                        ","CR12      ","Twente                                            ","CS120     ","Twente                                            ","CP1200    ","Twente                                            ","GG1106    ","GGD Regio Twente                                  ","JZ14      ","Twente                                            ","KK43      ","Oost                                              ","LB2303    ","Twente                                            ","LG04      ","Oostelijk Veehouderijgebied                       ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL21      ","Overijssel                                        ","NL213     ","Twente                                            ","PV23      ","Overijssel                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR11      ","Twente, Salland en Vechtstreek                    ","VR05      ","Twente                                            ","ZK22      ","Twente                                            ","5         ","50 000 tot 100 000 inwoners                       ","2         ","Sterk stedelijk          ",72479,1569
9,"GM0034    ","GM0034    ","Almere                                            ","Almere                                            ","AM11      ","Flevoland                                         ","AR04      ","Midden-Nederland                                  ","CR40      ","Flevoland                                         ","CS400     ","Flevoland                                         ","CP4001    ","Almere                                            ","GG2209    ","GGD Flevoland                                     ","JZ08      ","Flevoland                                         ","KK41      ","Noordwest                                         ","LB2402    ","Zuidelijke IJsselmeerpolders                      ","LG06      ","IJsselmeerpolders                                 ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL23      ","Flevoland                                         ","NL230     ","Flevoland                                         ","PV24      ","Flevoland                                         ","RE03      ","Midden-Nederland                                  ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR03      ","IJsselmeerkust                                    ","VR25      ","Flevoland                                         ","ZK21      ","'t Gooi                                           ","7         ","150 000 tot 250 000 inwoners                      ","2         ","Sterk stedelijk          ",200914,1578
10,"GM0484    ","GM0484    ","Alphen aan den Rijn                               ","Alphen aan den Rijn                               ","AM19      ","Holland Rijnland                                  ","AR07      ","Den Haag                                          ","CR28      ","Oost-Zuid-Holland                                 ","CS280     ","Oost-Zuid-Holland                                 ","CP2800    ","Oost-Zuid-Holland                                 ","GG4506    ","GGD Hollands-Midden                               ","JZ18      ","Holland Rijnland                                  ","KK45      ","Zuidwest                                          ","LB2805    ","Boskoop en Rijneveld                              ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL33      ","Zuid-Holland                                      ","NL338     ","Oost-Zuid-Holland                                 ","PV28      ","Zuid-Holland                                      ","RE06      ","Den Haag                                          ","RT13      ","Gerechtshof Den Haag                              ","TR17      ","Overig Nederland                                  ","VR16      ","Hollands-Midden                                   ","ZK28      ","Zuid-Holland Noord                                ","6         ","100 000 tot 150 000 inwoners                      ","2         ","Sterk stedelijk          ",108915,1765
11,"GM1723    ","GM1723    ","Alphen-Chaam                                      ","Alphen+Chaam                                      ","AM26      ","Midden-Brabant                                    ","AR11      ","Zeeland-West-Brabant                              ","CR34      ","Midden-Noord-Brabant                              ","CS340     ","Midden-Noord-Brabant                              ","CP3400    ","Midden-Noord-Brabant                              ","GG5206    ","GGD West-Brabant                                  ","JZ34      ","West Brabant Oost                                 ","KK44      ","Zuid                                              ","LB3007    ","De Kempen                                         ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL412     ","Midden-Noord-Brabant                              ","PV30      ","Noord-Brabant                                     ","RE08      ","Zeeland - West-Brabant                            ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR20      ","Midden- en West-Brabant                           ","ZK25      ","West-Brabant                                      ","3         ","10 000 tot 20 000 inwoners                        ","5         ","Niet stedelijk           ",10058,301
12,"GM0060    ","GM0060    ","Ameland                                           ","Ameland                                           ","AM02      ","Friesland                                         ","AR05      ","Noord-Nederland                                   ","CR04      ","Noord-Friesland                                   ","CS040     ","Noord-Friesland                                   ","CP0400    ","Noord-Friesland                                   ","GG7206    ","GGD Fryslân                                       ","JZ02      ","Friesland (Fryslân)                               ","KK42      ","Noord                                             ","LB2104    ","Eilanden                                          ","LG03      ","Noordelijk Weidegebied                            ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL12      ","Friesland (NL)                                    ","NL121     ","Noord-Friesland                                   ","PV21      ","Friesland                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR01      ","Waddeneilanden                                    ","VR02      ","Fryslân                                           ","ZK08      ","Friesland                                         ","1         ","minder dan 5 000 inwoners                         ","5         ","Niet stedelijk           ",3633,250
13,"GM0307    ","GM0307    ","Amersfoort                                        ","Amersfoort                                        ","AM14      ","Amersfoort                                        ","AR04      ","Midden-Nederland                                  ","CR17      ","Utrecht                                           ","CS170     ","Utrecht                                           ","CP1702    ","Stadsgewest Amersfoort                            ","GG2514    ","GGD Regio Utrecht                                 ","JZ20      ","Eemland                                           ","KK41      ","Noordwest                                         ","LB2604    ","Eemland                                           ","LG09      ","Hollands/Utrechts Weidegebied                     ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL31      ","Utrecht                                           ","NL310     ","Utrecht                                           ","PV26      ","Utrecht                                           ","RE03      ","Midden-Nederland                                  ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR07      ","Utrechtse Heuvelrug en 't Gooi                    ","VR09      ","Utrecht                                           ","ZK23      ","Utrecht                                           ","7         ","150 000 tot 250 000 inwoners                      ","2         ","Sterk stedelijk          ",154337,2285
14,"GM0362    ","GM0362    ","Amstelveen                                        ","Amstelveen                                        ","AM18      ","Groot Amsterdam                                   ","AR01      ","Amsterdam                                         ","CR23      ","Groot-Amsterdam                                   ","CS232     ","Overig Groot-Amsterdam                            ","CP2321    ","Overig Agglomeratie Amsterdam                     ","GG3406    ","GGD Amsterdam                                     ","JZ13      ","Amsterdam-Amstelland                              ","KK41      ","Noordwest                                         ","LB2703    ","Amstelland en Aalsmeer                            ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL326     ","Groot-Amsterdam                                   ","PV27      ","Noord-Holland                                     ","RE05      ","Amsterdam                                         ","RT11      ","Gerechtshof Amsterdam                             ","TR17      ","Overig Nederland                                  ","VR13      ","Amsterdam-Amstelland                              ","ZK01      ","Amstelland en De Meerlanden                       ","5         ","50 000 tot 100 000 inwoners                       ","2         ","Sterk stedelijk          ",89294,2464
15,"GM0363    ","GM0363    ","Amsterdam                                         ","Amsterdam                                         ","AM18      ","Groot Amsterdam                                   ","AR01      ","Amsterdam                                         ","CR23      ","Groot-Amsterdam                                   ","CS231     ","Amsterdam                                         ","CP2311    ","Amsterdam                                         ","GG3406    ","GGD Amsterdam                                     ","JZ13      ","Amsterdam-Amstelland                              ","KK41      ","Noordwest                                         ","LB2706    ","Waterland en N.-Hollandse Droogmakerijen          ","LG08      ","Waterland en Droogmakerijen                       ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL326     ","Groot-Amsterdam                                   ","PV27      ","Noord-Holland                                     ","RE05      ","Amsterdam                                         ","RT11      ","Gerechtshof Amsterdam                             ","TR16      ","4 grote steden excl. Noordzeebadplaatsen          ","VR13      ","Amsterdam-Amstelland                              ","ZK02      ","Amsterdam                                         ","8         ","250 000 inwoners of meer                          ","1         ","Zeer sterk stedelijk     ",844947,6004
16,"GM0200    ","GM0200    ","Apeldoorn                                         ","Apeldoorn                                         ","AM06      ","Stedendriehoek en Noordwest Veluwe                ","AR03      ","Gelderland                                        ","CR13      ","Veluwe                                            ","CS130     ","Veluwe                                            ","CP1300    ","Veluwe                                            ","GG1413    ","GGD Noord- en Oost-Gelderland                     ","JZ17      ","Midden IJssel / Oost Veluwe                       ","KK43      ","Oost                                              ","LB2501    ","Oostelijke Veluwe                                 ","LG05      ","Centraal Veehouderijgebied                        ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL221     ","Veluwe                                            ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR08      ","Veluwe en Veluwerand                              ","VR06      ","Noord- en Oost-Gelderland                         ","ZK03      ","Apeldoorn/Zutphen                                 ","7         ","150 000 tot 250 000 inwoners                      ","2         ","Sterk stedelijk          ",160047,1710
17,"GM0003    ","GM0003    ","Appingedam                                        ","Appingedam                                        ","AM01      ","Groningen                                         ","AR05      ","Noord-Nederland                                   ","CR02      ","Delfzijl en omgeving                              ","CS020     ","Delfzijl en omgeving                              ","CP0200    ","Delfzijl en omgeving                              ","GG0111    ","GGD Groningen                                     ","JZ01      ","Groningen                                         ","KK42      ","Noord                                             ","LB2003    ","Oostelijke Bouwstreek in Groningen                ","LG02      ","Veenkoloniën en Oldambt                           ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL11      ","Groningen                                         ","NL112     ","Delfzijl en omgeving                              ","PV20      ","Groningen                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR17      ","Overig Nederland                                  ","VR01      ","Groningen                                         ","ZK09      ","Groningen                                         ","3         ","10 000 tot 20 000 inwoners                        ","3         ","Matig stedelijk          ",11971,1045
18,"GM0202    ","GM0202    ","Arnhem                                            ","Arnhem                                            ","AM07      ","Midden-Gelderland                                 ","AR03      ","Gelderland                                        ","CR15      ","Arnhem/Nijmegen                                   ","CS150     ","Arnhem/Nijmegen                                   ","CP1500    ","Arnhem/Nijmegen                                   ","GG1911    ","Veiligheids- en Gezondheidsregio Gelderland-Midden","JZ28      ","Arnhem                                            ","KK43      ","Oost                                              ","LB2505    ","Veluwezoom en Betuwe                              ","LG10      ","Rivierengebied                                    ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL226     ","Arnhem/Nijmegen                                   ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR08      ","Veluwe en Veluwerand                              ","VR07      ","Gelderland-Midden                                 ","ZK04      ","Arnhem                                            ","7         ","150 000 tot 250 000 inwoners                      ","2         ","Sterk stedelijk          ",155699,2128
19,"GM0106    ","GM0106    ","Assen                                             ","Assen                                             ","AM01      ","Groningen                                         ","AR05      ","Noord-Nederland                                   ","CR07      ","Noord-Drenthe                                     ","CS070     ","Noord-Drenthe                                     ","CP0700    ","Noord-Drenthe                                     ","GG0706    ","GGD Drenthe                                       ","JZ04      ","Drenthe                                           ","KK42      ","Noord                                             ","LB2202    ","Smilde en Centraal Zandgebied in Drenthe          ","LG02      ","Veenkoloniën en Oldambt                           ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL13      ","Drenthe                                           ","NL131     ","Noord-Drenthe                                     ","PV22      ","Drenthe                                           ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR12      ","Groningse, Friese en Drentse Zandgronden          ","VR03      ","Drenthe                                           ","ZK06      ","Drenthe                                           ","5         ","50 000 tot 100 000 inwoners                       ","2         ","Sterk stedelijk          ",67551,1538
20,"GM0743    ","GM0743    ","Asten                                             ","Asten                                             ","AM32      ","Helmond-De Peel                                   ","AR10      ","Oost-Brabant                                      ","CR36      ","Zuidoost-Noord-Brabant                            ","CS360     ","Zuidoost-Noord-Brabant                            ","CP3600    ","Zuidoost-Noord-Brabant                            ","GG5608    ","GGD Brabant-Zuidoost                              ","JZ39      ","Zuidoost-Brabant                                  ","KK44      ","Zuid                                              ","LB3010    ","Westelijk Peelgebied                              ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL414     ","Zuidoost-Noord-Brabant                            ","PV30      ","Noord-Brabant                                     ","RE09      ","Oost-Brabant                                      ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR14      ","O.-Brabant, N.- en M.-Limburg, Nijmegen           ","VR22      ","Brabant-Zuidoost                                  ","ZK30      ","Zuidoost-Brabant                                  ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",16714,946
21,"GM0744    ","GM0744    ","Baarle-Nassau                                     ","Baarle+Nassau                                     ","AM26      ","Midden-Brabant                                    ","AR11      ","Zeeland-West-Brabant                              ","CR34      ","Midden-Noord-Brabant                              ","CS340     ","Midden-Noord-Brabant                              ","CP3400    ","Midden-Noord-Brabant                              ","GG5206    ","GGD West-Brabant                                  ","JZ34      ","West Brabant Oost                                 ","KK44      ","Zuid                                              ","LB3007    ","De Kempen                                         ","LG13      ","Zuidelijk Veehouderijgebied                       ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL41      ","Noord-Brabant                                     ","NL412     ","Midden-Noord-Brabant                              ","PV30      ","Noord-Brabant                                     ","RE08      ","Zeeland - West-Brabant                            ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR13      ","West- en Midden-Brabant                           ","VR20      ","Midden- en West-Brabant                           ","ZK25      ","West-Brabant                                      ","2         ","5 000 tot 10 000 inwoners                         ","5         ","Niet stedelijk           ",6657,324
22,"GM0308    ","GM0308    ","Baarn                                             ","Baarn                                             ","AM14      ","Amersfoort                                        ","AR04      ","Midden-Nederland                                  ","CR17      ","Utrecht                                           ","CS170     ","Utrecht                                           ","CP1702    ","Stadsgewest Amersfoort                            ","GG2514    ","GGD Regio Utrecht                                 ","JZ20      ","Eemland                                           ","KK41      ","Noordwest                                         ","LB2604    ","Eemland                                           ","LG09      ","Hollands/Utrechts Weidegebied                     ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL31      ","Utrecht                                           ","NL310     ","Utrecht                                           ","PV26      ","Utrecht                                           ","RE03      ","Midden-Nederland                                  ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR07      ","Utrechtse Heuvelrug en 't Gooi                    ","VR09      ","Utrecht                                           ","ZK23      ","Utrecht                                           ","4         ","20 000 tot 50 000 inwoners                        ","2         ","Sterk stedelijk          ",24529,1598
23,"GM0489    ","GM0489    ","Barendrecht                                       ","Barendrecht                                       ","AM22      ","Rijnmond                                          ","AR08      ","Rotterdam                                         ","CR29      ","Groot-Rijnmond                                    ","CS291     ","Rijnmond                                          ","CP2910    ","Rijnmond                                          ","GG4607    ","GGD Rotterdam-Rijnmond                            ","JZ29      ","Rijnmond                                          ","KK45      ","Zuidwest                                          ","LB2802    ","Rotterdam en omgeving                             ","LG07      ","Westelijk Holland                                 ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL33      ","Zuid-Holland                                      ","NL339     ","Groot-Rijnmond                                    ","PV28      ","Zuid-Holland                                      ","RE07      ","Rotterdam                                         ","RT13      ","Gerechtshof Den Haag                              ","TR04      ","Deltagebied                                       ","VR17      ","Rotterdam-Rijnmond                                ","ZK29      ","Zuid-Hollandse Eilanden                           ","4         ","20 000 tot 50 000 inwoners                        ","2         ","Sterk stedelijk          ",48344,1654
24,"GM0203    ","GM0203    ","Barneveld                                         ","Barneveld                                         ","AM38      ","FoodValley                                        ","AR03      ","Gelderland                                        ","CR13      ","Veluwe                                            ","CS130     ","Veluwe                                            ","CP1300    ","Veluwe                                            ","GG1911    ","Veiligheids- en Gezondheidsregio Gelderland-Midden","JZ21      ","Food Valley                                       ","KK43      ","Oost                                              ","LB2507    ","Westelijke Veluwe                                 ","LG05      ","Centraal Veehouderijgebied                        ","LD02      ","Oost-Nederland                                    ","NL2       ","Oost-Nederland                                    ","NL22      ","Gelderland                                        ","NL221     ","Veluwe                                            ","PV25      ","Gelderland                                        ","RE02      ","Oost-Nederland                                    ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR08      ","Veluwe en Veluwerand                              ","VR07      ","Gelderland-Midden                                 ","ZK04      ","Arnhem                                            ","5         ","50 000 tot 100 000 inwoners                       ","4         ","Weinig stedelijk         ",56376,824
25,"GM0005    ","GM0005    ","Bedum                                             ","Bedum                                             ","AM01      ","Groningen                                         ","AR05      ","Noord-Nederland                                   ","CR03      ","Overig Groningen                                  ","CS030     ","Overig Groningen                                  ","CP0300    ","Overig Groningen                                  ","GG0111    ","GGD Groningen                                     ","JZ01      ","Groningen                                         ","KK42      ","Noord                                             ","LB2002    ","Centraal Weidegebied in Groningen                 ","LG03      ","Noordelijk Weidegebied                            ","LD01      ","Noord-Nederland                                   ","NL1       ","Noord-Nederland                                   ","NL11      ","Groningen                                         ","NL113     ","Overig Groningen                                  ","PV20      ","Groningen                                         ","RE01      ","Noord-Nederland                                   ","RT12      ","Gerechtshof Arnhem-Leeuwarden                     ","TR17      ","Overig Nederland                                  ","VR01      ","Groningen                                         ","ZK09      ","Groningen                                         ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",10479,678
26,"GM0888    ","GM0888    ","Beek                                              ","Beek                                              ","AM30      ","Zuid-Limburg                                      ","AR09      ","Limburg                                           ","CR39      ","Zuid-Limburg                                      ","CS390     ","Zuid-Limburg                                      ","CP3900    ","Zuid-Limburg                                      ","GG6106    ","GGD Zuid-Limburg                                  ","JZ41      ","Zuid-Limburg                                      ","KK44      ","Zuid                                              ","LB3102    ","Zuid-Limburg                                      ","LG14      ","Zuid-Limburg                                      ","LD04      ","Zuid-Nederland                                    ","NL4       ","Zuid-Nederland                                    ","NL42      ","Limburg (NL)                                      ","NL423     ","Zuid-Limburg                                      ","PV31      ","Limburg                                           ","RE10      ","Limburg                                           ","RT14      ","Gerechtshof 's-Hertogenbosch                      ","TR15      ","Zuid-Limburg                                      ","VR24      ","Limburg-Zuid                                      ","ZK31      ","Zuid-Limburg                                      ","3         ","10 000 tot 20 000 inwoners                        ","4         ","Weinig stedelijk         ",15951,879
27,"GM0370    ","GM0370    ","Beemster                                          ","Beemster                                          ","AM17      ","Zaanstreek/Waterland                              ","AR02      ","Noord-Holland                                     ","CR23      ","Groot-Amsterdam                                   ","CS232     ","Overig Groot-Amsterdam                            ","CP2322    ","Edam-Volendam en omgeving                         ","GG7306    ","GGD Zaanstreek/Waterland                          ","JZ09      ","Zaanstreek-Waterland                              ","KK41      ","Noordwest                                         ","LB2706    ","Waterland en N.-Hollandse Droogmakerijen          ","LG08      ","Waterland en Droogmakerijen                       ","LD03      ","West-Nederland                                    ","NL3       ","West-Nederland                                    ","NL32      ","Noord-Holland                                     ","NL326     ","Groot-Amsterdam                                   ","PV27      ","Noord-Holland                                     ","RE04      ","Noord-Holland                                     ","RT11      ","Gerechtshof Amsterdam                             ","TR17      ","Overig Nederland                                  ","VR11      ","Zaanstreek-Waterland                              ","ZK26      ","Zaanstreek/Waterland                              ","2         ","5 000 tot 10 000 inwoners                         ","4         ","Weinig stedelijk         ",9205,604
